2012-11-14,1,0
2012-11-15,6,0
2012-11-16,7,0
2012-11-17,6,0
2012-11-18,25,0
2012-11-19,27,0
2012-11-20,56,1
2012-11-21,141,0
2012-11-22,186,0
2012-11-23,219,2
2012-11-24,224,1
2012-11-25,229,3
2012-11-26,232,1
2012-11-27,233,0
2012-11-28,234,1
2012-11-29,229,0
2012-11-30,236,0
2012-12-01,242,3
2012-12-02,244,1
2012-12-03,245,0
2012-12-04,245,0
2012-12-05,246,1
2012-12-06,246,2
2012-12-07,248,1
2012-12-08,248,3
2012-12-09,248,0
2012-12-10,248,3
2012-12-11,248,1
2012-12-12,251,2
2012-12-13,244,0
2012-12-14,251,1
2012-12-15,252,1
2012-12-16,252,0
2012-12-17,253,1
2012-12-18,253,0
2012-12-19,249,2
2012-12-20,249,1
2012-12-21,256,1
2012-12-22,255,0
2012-12-23,253,0
2012-12-24,252,2
2012-12-25,252,1
2012-12-26,252,0
2012-12-27,250,3
2012-12-28,251,0
2012-12-29,251,1
2012-12-30,252,0
2012-12-31,252,2
2013-01-01,252,2
2013-01-02,252,2
2013-01-03,255,0
2013-01-04,255,3
2013-01-05,257,1
2013-01-06,257,0
2013-01-07,257,1
2013-01-08,257,0
2013-01-09,256,1
2013-01-10,258,2
2013-01-11,259,1
2013-01-12,260,3
2013-01-13,260,2
2013-01-14,259,1
2013-01-15,259,3
2013-01-16,258,2
2013-01-17,258,2
2013-01-18,231,0
2013-01-19,238,1
2013-01-20,238,0
2013-01-21,238,2
2013-01-22,237,0
2013-01-23,237,2
2013-01-24,236,1
2013-01-25,232,1
2013-01-26,63,0
2013-01-27,38,0
2013-01-28,26,0
2013-01-29,17,0
2013-01-30,12,0
2013-01-31,9,0
